,TRUE,Pre,Error,True070414,True070409,True07040430,true3625,pred3625,error3625,true3859,pred3859,error3859
0,1,0.81417,0.18583,0,2,0,2,0.5521923,1.4478077292442322,0,1.1912763,1.1912763118743896
1,3,2.5620700000000003,0.43793000000000004,7,9,1,0,1.7438554,1.743855357170105,2,4.3552938,2.3552937507629395
2,1,0.0079,1.0079,8,5,0,4,2.2202213,1.7797787189483643,4,5.282143,1.2821431159973145
3,1,0.0033,1.0033,1,2,1,0,0.44026563,0.44026562571525574,1,0.9498105,0.05018949508666992
4,7,10.153039999999999,3.1530400000000003,14,17,4,6,8.872019,2.872018814086914,11,15.093398,4.093398094177246
5,0,0.66997,0.66997,1,0,0,0,0.7945769,0.79457688331604,2,1.3047307,0.6952693462371826
6,4,2.74513,1.2548700000000002,4,1,1,2,2.5849538,0.584953784942627,6,4.831131,1.1688690185546875
7,2,9.382489999999999,7.38249,16,12,3,4,7.2449703,3.2449703216552734,14,12.898512,1.1014881134033203
8,2,2.25992,0.25992,7,4,0,0,1.5594368,1.5594367980957031,6,3.8947067,2.1052932739257812
9,0,0.028110000000000003,0.028110000000000003,0,0,0,0,0.17315364,0.17315363883972168,1,0.3236143,0.6763857007026672
10,0,0.01168,0.01168,0,0,0,1,0.24245204,0.7575479596853256,0,0.49637496,0.4963749647140503
11,0,0.67498,0.67498,1,0,0,0,0.4602964,0.4602963924407959,2,0.94869226,1.051307737827301
12,7,6.36289,0.6371100000000001,12,10,2,2,4.673206,2.673205852508545,9,9.316603,0.3166027069091797
13,2,4.33381,2.3338099999999997,4,8,1,3,2.5023181,0.4976818561553955,4,5.953282,1.9532818794250488
14,7,12.52956,5.52956,18,20,5,4,9.621055,5.621054649353027,13,17.12875,4.128749847412109
15,0,0.64773,0.64773,1,0,0,1,0.52890337,0.47109663486480713,1,1.0900944,0.09009444713592529
16,1,0.44676000000000005,0.55324,1,0,0,1,0.517,0.4829999804496765,1,0.73654205,0.2634579539299011
17,0,1.38825,1.38825,3,3,0,0,0.9815805,0.9815804958343506,1,1.8081,0.8080999851226807
18,7,22.853070000000002,15.85307,35,35,6,13,14.7554035,1.7554035186767578,29,29.547443,0.5474433898925781
19,8,7.0209600000000005,0.9790399999999999,10,11,0,2,3.219882,1.2198820114135742,6,5.8445134,0.1554865837097168
20,0,0.00685,0.00685,0,0,0,0,0.29980636,0.2998063564300537,1,0.47515446,0.524845540523529
21,4,7.03908,3.03908,10,9,1,2,3.2675788,1.2675788402557373,7,5.93109,1.0689101219177246
22,0,0.0072,0.0072,0,1,0,0,0.068875544,0.06887554377317429,0,0.13820277,0.13820277154445648
23,0,0.919,0.919,2,0,0,0,0.779396,0.7793959975242615,0,1.2037162,1.2037161588668823
24,0,0.00014,0.00014,0,0,0,0,0.10235776,0.10235776007175446,0,0.15850422,0.15850421786308289
25,1,2.70325,1.70325,3,5,1,1,1.5938293,0.5938292741775513,3,2.6044853,0.39551472663879395
26,0,0.30163,0.30163,1,0,0,0,0.15248948,0.15248948335647583,0,0.22566669,0.22566668689250946
27,2,4.15499,2.15499,10,7,0,2,1.6838462,0.31615376472473145,2,3.3141086,1.3141086101531982
28,5,1.3598700000000001,3.64013,1,0,0,0,0.6621561,0.6621561050415039,2,1.1125741,0.8874258995056152
29,0,0.0008,0.0008,0,0,0,0,0.0,0.0,0,0.0,0.0
30,0,0.00405,0.00405,0,0,0,0,0.0,0.0,0,0.0,0.0
31,0,1.00965,1.00965,2,1,0,0,0.8525611,0.8525611162185669,1,1.3167139,0.31671392917633057
32,0,0.0006,0.0006,0,0,0,0,0.0,0.0,0,0.0,0.0
33,0,0.69477,0.69477,0,1,1,1,0.75846905,0.24153095483779907,1,1.4378496,0.43784964084625244
34,0,0.0072299999999999994,0.0072299999999999994,0,0,0,0,0.0,0.0,0,0.0,0.0
35,0,1.0453,1.0453,0,2,0,1,1.2097324,0.20973241329193115,2,2.0352247,0.03522467613220215
36,0,0.67225,0.67225,0,2,0,1,0.69708604,0.30291396379470825,0,1.3214843,1.3214843273162842
37,0,0.25789,0.25789,0,0,1,0,0.09443168,0.09443168342113495,0,0.18948264,0.189482644200325
38,0,0.03684,0.03684,0,0,0,0,0.0,0.0,0,0.0,0.0
39,0,0.0027199999999999998,0.0027199999999999998,0,0,0,0,0.0,0.0,0,0.0,0.0
40,0,0.1094,0.1094,0,0,0,0,0.0,0.0,0,0.0,0.0
41,0,0.8768799999999999,0.8768799999999999,1,2,0,1,0.4855136,0.5144864022731781,2,1.0840194,0.9159805774688721
42,0,0.20848000000000003,0.20848000000000003,0,0,0,0,0.2687811,0.2687810957431793,0,0.5123169,0.512316882610321
43,0,7e-05,7e-05,0,0,0,0,0.0,0.0,0,0.0,0.0
44,0,0.008320000000000001,0.008320000000000001,0,0,0,0,0.0,0.0,0,0.0,0.0
45,0,0.0009400000000000001,0.0009400000000000001,0,0,0,0,0.0,0.0,0,0.0,0.0
46,0,1.7409700000000001,1.7409700000000001,1,3,0,2,1.0916876,0.9083124399185181,2,1.7839327,0.21606731414794922
47,0,0.00045999999999999996,0.00045999999999999996,0,1,0,0,0.5018577,0.5018576979637146,0,0.7179603,0.7179602980613708
48,0,0.31866,0.31866,0,0,0,0,0.20163503,0.20163503289222717,0,0.27567247,0.27567246556282043
49,0,0.56581,0.56581,0,0,0,1,0.36410332,0.6358966827392578,1,0.66204685,0.3379531502723694
50,3,2.60029,0.39971,6,6,3,0,1.8398781,1.8398780822753906,2,2.8559947,0.855994701385498
51,0,0.00217,0.00217,0,0,0,0,0.094475634,0.0944756343960762,0,0.14722583,0.14722582697868347
52,1,3.3785300000000005,2.37853,7,6,2,1,2.7715435,1.7715435028076172,5,4.559536,0.4404640197753906
53,0,1.09875,1.09875,0,1,0,2,1.2462847,0.7537152767181396,2,2.0967195,0.09671950340270996
54,3,4.47588,1.4758799999999999,7,10,3,3,3.7791507,0.7791507244110107,5,6.217176,1.2171759605407715
55,4,9.82638,5.82638,17,12,4,5,8.562523,3.5625228881835938,15,14.566873,0.43312740325927734
56,0,0.1002,0.1002,0,0,0,0,0.36227715,0.36227715015411377,1,0.62687254,0.37312746047973633
57,0,5e-05,5e-05,0,0,0,0,0.0,0.0,0,0.0,0.0
58,0,0.00248,0.00248,0,1,0,0,0.0,0.0,0,0.0,0.0
59,0,0.00066,0.00066,0,0,0,0,0.0,0.0,0,0.0,0.0
60,0,0.0015,0.0015,0,0,0,0,0.49198213,0.4919821321964264,1,0.7038323,0.29616767168045044
61,0,0.04519,0.04519,0,0,0,0,0.0,0.0,0,0.0,0.0
62,0,0.3016,0.3016,0,0,0,0,0.31639498,0.31639498472213745,0,0.5451721,0.5451720952987671
63,0,0.0013800000000000002,0.0013800000000000002,0,0,0,0,0.13959718,0.13959717750549316,0,0.20534539,0.20534539222717285
64,0,0.0003,0.0003,0,0,0,0,0.0,0.0,0,0.0,0.0
65,0,0.0007099999999999999,0.0007099999999999999,0,0,0,0,0.0,0.0,0,0.0,0.0
66,0,0.006409999999999999,0.006409999999999999,0,0,0,0,0.031911504,0.03191150352358818,0,0.04722531,0.047225311398506165
67,0,0.02758,0.02758,0,0,0,0,0.0,0.0,0,0.0,0.0
68,0,0.23734,0.23734,0,0,0,0,0.16087595,0.16087594628334045,1,0.21994722,0.7800527811050415
69,0,0.94431,0.94431,0,0,0,0,0.5459936,0.5459936261177063,0,0.8990816,0.8990815877914429
70,0,0.35871,0.35871,1,0,0,0,0.23104405,0.23104405403137207,0,0.32479596,0.3247959613800049
71,0,0.01329,0.01329,0,0,0,0,0.0,0.0,0,0.0,0.0
72,0,1.0122799999999998,1.0122799999999998,1,1,0,0,0.524194,0.5241940021514893,1,1.1703821,0.17038214206695557
73,4,6.34319,2.3431900000000003,13,7,1,1,2.578675,1.5786750316619873,5,5.0752907,0.07529067993164062
74,0,0.24961999999999998,0.24961999999999998,0,0,0,0,0.35697514,0.35697513818740845,1,0.6150948,0.38490521907806396
75,0,0.01934,0.01934,1,0,0,0,0.3280329,0.328032910823822,0,0.5964603,0.5964602828025818
76,0,0.8549200000000001,0.8549200000000001,0,0,0,0,0.48177975,0.4817797541618347,0,0.79334134,0.793341338634491
77,6,10.278789999999999,4.27879,17,8,3,1,4.865608,3.8656082153320312,10,9.096821,0.9031791687011719
78,0,0.00903,0.00903,0,1,0,1,0.41211727,0.5878827273845673,1,0.77351576,0.2264842391014099
79,0,0.00695,0.00695,0,0,0,0,0.11500418,0.11500418186187744,0,0.22344495,0.22344495356082916
80,18,21.892039999999998,3.89204,33,22,5,6,10.447697,4.447696685791016,19,20.314365,1.3143653869628906
81,0,0.00379,0.00379,0,0,0,0,0.0,0.0,0,0.0,0.0
82,0,0.03209,0.03209,0,0,0,0,0.0,0.0,0,0.0,0.0
83,0,0.00268,0.00268,0,0,0,0,0.0,0.0,0,0.0,0.0
84,0,0.00463,0.00463,1,0,1,0,0.0,0.0,0,0.0,0.0
85,0,0.00981,0.00981,0,0,0,0,0.13404873,0.134048730134964,0,0.18844235,0.18844234943389893
86,16,15.41676,0.58324,22,12,5,2,7.3535023,5.35350227355957,13,13.748229,0.7482290267944336
87,0,0.006490000000000001,0.006490000000000001,0,0,0,0,0.29991493,0.2999149262905121,1,0.4805634,0.5194365978240967
88,13,15.15385,2.15385,25,14,4,1,7.145333,6.1453328132629395,14,13.281757,0.7182426452636719
89,0,0.20042000000000001,0.20042000000000001,0,0,0,1,0.22051217,0.7794878333806992,1,0.4219571,0.5780428946018219
90,0,0.32121,0.32121,1,0,0,0,0.25523,0.25523000955581665,0,0.43052277,0.43052276968955994
91,0,9e-05,9e-05,0,0,0,0,0.0,0.0,0,0.0,0.0
92,0,0.0002,0.0002,3,0,0,0,0.53762937,0.5376293659210205,0,0.8378131,0.8378130793571472
93,0,0.033569999999999996,0.033569999999999996,0,0,0,0,0.05602547,0.05602547153830528,0,0.079067335,0.07906733453273773
94,0,0.00128,0.00128,1,1,0,0,0.41156042,0.41156041622161865,2,0.7724706,1.2275294065475464
95,0,0.53369,0.53369,0,0,0,0,0.40906793,0.40906792879104614,0,0.6554628,0.6554628014564514
96,0,0.00158,0.00158,0,0,0,0,0.0,0.0,0,0.0,0.0
97,0,0.16518,0.16518,0,0,0,0,0.46364817,0.4636481702327728,1,0.73364466,0.26635533571243286
98,0,0.015009999999999999,0.015009999999999999,0,0,0,0,0.09065368,0.0906536802649498,0,0.17613368,0.1761336773633957
99,0,0.00161,0.00161,0,0,0,0,0.0,0.0,0,0.0,0.0
100,3,4.58864,1.58864,10,5,1,4,3.413953,0.5860469341278076,4,5.889099,1.88909912109375
101,1,0.00663,1.00663,1,1,0,1,1.2265315,0.2265315055847168,1,2.009021,1.0090210437774658
102,10,18.61073,8.61073,33,17,4,3,8.847027,5.847026824951172,18,17.202044,0.7979564666748047
103,1,1.6793099999999999,0.6793100000000001,1,1,0,1,1.2614836,0.2614835500717163,1,2.1760702,1.176070213317871
104,2,0.48896000000000006,1.51104,1,0,1,1,0.5314479,0.4685521125793457,1,0.9023989,0.09760111570358276
105,21,27.417609999999996,6.41761,44,25,7,12,16.021645,4.021644592285156,26,29.299433,3.2994327545166016
106,1,0.7653399999999999,0.23465999999999998,0,1,0,0,0.34125715,0.34125715494155884,0,0.96471393,0.9647139310836792
107,16,15.3866,0.6134,23,13,4,2,7.2356133,5.2356133460998535,14,13.449571,0.5504293441772461
108,11,11.321589999999999,0.32159,16,10,4,0,5.394024,5.394023895263672,11,9.429297,1.5707025527954102
109,0,1.35264,1.35264,5,0,0,0,1.2213572,1.2213572263717651,2,1.9325908,0.06740915775299072
110,2,0.0125,2.0125,9,5,1,4,3.389529,0.6104710102081299,4,5.5519443,1.5519442558288574
111,0,0.00627,0.00627,0,0,0,1,0.5844987,0.41550129652023315,0,0.97058374,0.9705837368965149
112,0,0.01408,0.01408,0,0,0,0,0.18816839,0.18816839158535004,1,0.35783812,0.6421618759632111
113,0,1.29069,1.29069,0,0,0,1,1.4416194,0.4416193962097168,2,2.494531,0.49453091621398926
114,0,0.6490600000000001,0.6490600000000001,0,0,0,0,0.5902639,0.5902639031410217,0,1.0022686,1.0022685527801514
115,2,0.74082,1.25918,3,0,1,1,0.87370014,0.12629985809326172,4,1.4346546,2.5653454065322876
116,0,0.32288,0.32288,0,0,0,0,0.39166284,0.3916628360748291,2,0.70450693,1.2954930663108826
117,0,0.31475,0.31475,0,0,0,0,0.19875424,0.1987542361021042,0,0.55265486,0.5526548624038696
118,15,21.4047,6.4047,36,18,6,7,12.589123,5.589122772216797,23,23.022242,0.022241592407226562
119,0,1.4739200000000001,1.4739200000000001,0,0,0,1,1.4230314,0.42303144931793213,1,2.5596902,1.559690237045288
120,0,0.66898,0.66898,1,1,0,0,0.58888376,0.5888837575912476,3,1.2056289,1.7943711280822754
121,0,0.5989300000000001,0.5989300000000001,3,2,0,0,0.29937577,0.2993757724761963,0,0.8965377,0.896537721157074
122,22,28.92868,6.92868,47,24,7,13,17.228115,4.228115081787109,30,32.50002,2.500019073486328
123,0,0.0119,0.0119,0,0,0,0,0.03392534,0.033925339579582214,0,0.095904954,0.09590495377779007
124,0,0.00027,0.00027,1,0,0,0,0.2799512,0.27995121479034424,3,0.77843076,2.221569240093231
125,0,1.405,1.405,2,1,0,0,0.68510276,0.6851027607917786,0,2.0516706,2.051670551300049
126,0,0.58821,0.58821,0,1,0,0,0.28969535,0.2896953523159027,0,0.8296144,0.8296144008636475
127,1,0.81366,0.18634,2,2,0,0,0.4031512,0.4031512141227722,0,1.1386654,1.1386654376983643
128,12,11.3674,0.6326,15,7,4,2,5.440112,3.4401121139526367,11,9.509864,1.4901361465454102
129,0,2.7425,2.7425,2,3,0,1,2.0845098,1.0845098495483398,3,5.184723,2.184722900390625
130,0,2.79074,2.79074,6,3,0,2,2.0762873,0.07628726959228516,2,5.164271,3.1642708778381348
131,0,1.9489299999999998,1.9489299999999998,5,1,0,1,1.2226163,0.2226163148880005,4,2.6004136,1.3995864391326904
132,1,8.31429,7.31429,6,11,4,3,5.837692,2.8376917839050293,12,12.222027,0.22202682495117188
133,0,0.009640000000000001,0.009640000000000001,2,1,0,0,1.2005832,1.2005832195281982,1,1.9936169,0.9936169385910034
